flow_id,src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,noofpackets,packets
10.10.10.165-83.231.166.90-80-21319-355,10.10.10.165,83.231.166.90,80,21319,6,2024-06-01 16:09:34,0.04267692565917969,2671232.715083799,46863.73184357542,23431.86592178771,23431.86592178771,1,1,60,54,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,60,54,57.0,3.0,9.0,20,20,20,1,0.04267692565917969,0.04267692565917969,0.04267692565917969,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,64240,32767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,401_402
10.10.10.165-219.180.167.228-80-21322-357,10.10.10.165,219.180.167.228,80,21322,6,2024-06-01 16:09:34,0.025033950805664062,4553815.771428571,79891.50476190477,39945.752380952385,39945.752380952385,1,1,60,54,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,60,54,57.0,3.0,9.0,20,20,20,1,0.025033950805664062,0.025033950805664062,0.025033950805664062,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,64240,32767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,405_406
10.10.10.165-149.234.201.140-80-21323-357,10.10.10.165,149.234.201.140,80,21323,6,2024-06-01 16:09:34,0.019550323486328125,5831105.560975609,102300.09756097561,51150.04878048781,51150.04878048781,1,1,60,54,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,60,54,57.0,3.0,9.0,20,20,20,1,0.019550323486328125,0.019550323486328125,0.019550323486328125,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,64240,32767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,407_408
10.10.10.165-135.69.92.232-80-21324-357,10.10.10.165,135.69.92.232,80,21324,6,2024-06-01 16:09:34,0.03743171691894531,3045545.579617834,53430.62420382166,26715.31210191083,26715.31210191083,1,1,60,54,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,60,54,57.0,3.0,9.0,20,20,20,1,0.03743171691894531,0.03743171691894531,0.03743171691894531,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,64240,32767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,409_410
10.10.10.165-80.121.177.121-80-21346-377,10.10.10.165,80.121.177.121,80,21346,6,2024-06-01 16:09:34,0.06389617919921875,1784144.2388059702,31300.776119402984,15650.388059701492,15650.388059701492,1,1,60,54,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,60,54,57.0,3.0,9.0,20,20,20,1,0.06389617919921875,0.06389617919921875,0.06389617919921875,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,64240,32767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,431_432
10.10.10.165-199.157.211.90-80-21347-377,10.10.10.165,199.157.211.90,80,21347,6,2024-06-01 16:09:34,0.016689300537109375,6830723.657142857,119837.25714285714,59918.62857142857,59918.62857142857,1,1,60,54,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,60,54,57.0,3.0,9.0,20,20,20,1,0.016689300537109375,0.016689300537109375,0.016689300537109375,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,64240,32767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,433_434
10.10.10.165-58.31.133.224-80-21348-377,10.10.10.165,58.31.133.224,80,21348,6,2024-06-01 16:09:34,0.0171661376953125,6640981.333333333,116508.44444444444,58254.22222222222,58254.22222222222,1,1,60,54,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,60,54,57.0,3.0,9.0,20,20,20,1,0.0171661376953125,0.0171661376953125,0.0171661376953125,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,64240,32767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,435_436
31.6.132.230-10.10.10.165-24626-80-394,31.6.132.230,10.10.10.165,24626,80,6,2024-06-01 16:09:34,2.0542144775390625,140199.57660167132,1460.4122562674095,973.6081708449397,486.8040854224698,2,1,228,60,174.0,54.0,114.0,60.0,60.0,60.0,60.0,0.0,174,54,96.0,55.20869496736904,3048.0,40,20,20,1,1.0271072387695312,2.012491226196289,0.04172325134277344,0.9853839874267578,2.0542144775390625,2.0542144775390625,2.0542144775390625,2.0542144775390625,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,96.0,64,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,454_463_465
65.247.25.132-10.10.10.165-24627-80-399,65.247.25.132,10.10.10.165,24627,80,6,2024-06-01 16:09:34,0.6461143493652344,445741.53210332105,4643.140959409594,3095.4273062730626,1547.7136531365313,2,1,228,60,174.0,54.0,114.0,60.0,60.0,60.0,60.0,0.0,174,54,96.0,55.20869496736904,3048.0,40,20,20,1,0.3230571746826172,0.5929470062255859,0.05316734313964844,0.26988983154296875,0.6461143493652344,0.6461143493652344,0.6461143493652344,0.6461143493652344,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,96.0,64,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,459_464_466
10.10.10.165-69.115.200.160-80-24662-403,10.10.10.165,69.115.200.160,80,24662,6,2024-06-01 16:09:34,0.04076957702636719,2796202.6666666665,49056.18713450292,24528.09356725146,24528.09356725146,1,1,60,54,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,60,54,57.0,3.0,9.0,20,20,20,1,0.04076957702636719,0.04076957702636719,0.04076957702636719,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,64240,32767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,469_471
